City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
215,Viedma,-40.8135,-62.9967,64.47,23,0,6.11,AR,2022-09-27 16:53:42,clear sky
216,Halifax,44.6453,-63.5724,64.45,98,100,6.91,CA,2022-09-27 16:50:02,shower rain
217,Georgetown,5.4112,100.3354,81.9,85,20,1.14,MY,2022-09-27 16:47:57,few clouds
218,Albany,42.6001,-73.9662,64.24,70,67,6.91,US,2022-09-27 16:43:51,broken clouds
219,Talnakh,69.4865,88.3972,22.05,84,95,3.56,RU,2022-09-27 16:49:31,overcast clouds
220,Qasigiannguit,68.8193,-51.1922,39.96,94,100,6.64,GL,2022-09-27 16:53:43,overcast clouds
221,Chuy,-33.6971,-53.4616,66.99,58,56,15.21,UY,2022-09-27 16:48:05,broken clouds
222,Hithadhoo,-0.6,73.0833,79.43,79,100,13.24,MV,2022-09-27 16:53:44,overcast clouds
223,Narsaq,60.9167,-46.05,43.54,92,100,2.68,GL,2022-09-27 16:53:44,overcast clouds
224,New Norfolk,-42.7826,147.0587,48.92,83,93,1.3,AU,2022-09-27 16:53:45,overcast clouds
225,Hobart,-42.8794,147.3294,49.26,93,40,5.75,AU,2022-09-27 16:51:06,scattered clouds
226,Barrow,71.2906,-156.7887,26.62,100,100,5.75,US,2022-09-27 16:49:47,mist
227,Mataya,7.4711,124.3719,72.23,96,100,1.68,PH,2022-09-27 16:53:46,overcast clouds
228,Dikson,73.5069,80.5464,30.49,70,100,6.22,RU,2022-09-27 16:54:46,overcast clouds
229,Barrow,71.2906,-156.7887,26.62,100,100,5.75,US,2022-09-27 16:49:47,mist
230,Socastee,33.6835,-78.9984,77.09,51,0,9.22,US,2022-09-27 16:54:47,clear sky
231,Puerto Ayora,-0.7393,-90.3518,71.56,88,95,7.0,EC,2022-09-27 16:48:06,overcast clouds
232,Hithadhoo,-0.6,73.0833,79.43,79,100,13.24,MV,2022-09-27 16:53:44,overcast clouds
233,Mataura,-46.1927,168.8643,49.48,99,100,2.44,NZ,2022-09-27 16:49:41,overcast clouds
234,Hamilton,39.1834,-84.5333,64.65,50,75,18.41,US,2022-09-27 16:49:58,broken clouds
235,Thompson,55.7435,-97.8558,44.76,70,75,4.61,CA,2022-09-27 16:51:04,broken clouds
236,Bintulu,3.1667,113.0333,77.41,94,20,2.3,MY,2022-09-27 16:54:48,few clouds
237,Ushuaia,-54.8,-68.3,51.42,87,100,33.38,AR,2022-09-27 16:49:32,light rain
238,Awjilah,29.1081,21.2869,90.68,24,0,4.14,LY,2022-09-27 16:54:49,clear sky
239,Port Elizabeth,-33.918,25.5701,66.09,97,100,17.27,ZA,2022-09-27 16:54:49,moderate rain
240,Ushuaia,-54.8,-68.3,51.42,87,100,33.38,AR,2022-09-27 16:49:32,light rain
241,Gabu,12.2833,-14.2167,84.09,79,71,2.93,GW,2022-09-27 16:54:50,light rain
242,Severo-Kurilsk,50.6789,156.125,48.81,83,28,18.41,RU,2022-09-27 16:54:50,scattered clouds
243,Albany,42.6001,-73.9662,64.24,70,67,6.91,US,2022-09-27 16:43:51,broken clouds
244,Rikitea,-23.1203,-134.9692,68.29,59,60,8.88,PF,2022-09-27 16:48:29,broken clouds
245,Salalah,17.0151,54.0924,78.91,82,2,2.71,OM,2022-09-27 16:54:51,clear sky
246,High Prairie,55.4334,-116.4858,65.82,54,71,4.65,CA,2022-09-27 16:52:16,broken clouds
247,Bhum,18.4667,75.6667,76.51,75,100,7.78,IN,2022-09-27 16:54:52,overcast clouds
248,Jamestown,42.097,-79.2353,55.04,86,100,12.66,US,2022-09-27 16:50:56,overcast clouds
249,Tuktoyaktuk,69.4541,-133.0374,32.0,100,100,24.16,CA,2022-09-27 16:49:44,light snow
250,Betanzos,43.2804,-8.2147,67.12,72,75,4.61,ES,2022-09-27 16:54:53,broken clouds
251,Punta Arenas,-53.15,-70.9167,51.91,54,75,35.68,CL,2022-09-27 16:48:10,broken clouds
252,Punta Arenas,-53.15,-70.9167,51.91,54,75,35.68,CL,2022-09-27 16:48:10,broken clouds
253,Tczew,54.0924,18.7779,58.44,100,100,5.06,PL,2022-09-27 16:54:55,overcast clouds
254,Mataura,-46.1927,168.8643,49.48,99,100,2.44,NZ,2022-09-27 16:49:41,overcast clouds
255,Sitka,57.0531,-135.33,53.02,87,100,2.98,US,2022-09-27 16:49:40,overcast clouds
256,Dikson,73.5069,80.5464,30.49,70,100,6.22,RU,2022-09-27 16:54:46,overcast clouds
257,Cherskiy,68.75,161.3,23.74,81,7,4.83,RU,2022-09-27 16:54:56,clear sky
258,Caucaia,-3.7361,-38.6531,85.95,71,0,17.27,BR,2022-09-27 16:54:57,clear sky
259,Yellowknife,62.456,-114.3525,55.92,76,40,12.66,CA,2022-09-27 16:45:32,scattered clouds
260,Tateyama,34.9833,139.8667,72.1,74,100,17.54,JP,2022-09-27 16:54:57,overcast clouds
261,Mawlamyine,16.4914,97.6256,77.05,91,100,4.72,MM,2022-09-27 16:54:58,overcast clouds
